# wavelength   electrons_per_sec       
  560.181      0.405097                
  560.454      0.408222                
  560.727      0.407874                
  560.999      0.40792                 
  561.272      0.406726                
  561.544      0.402474                
  561.817      0.403121                
  562.09       0.409159                
  562.362      0.412471                
  562.635      0.412772                
  562.908      0.413098                
  563.18       0.411971                
  563.453      0.408625                
  563.725      0.40781300000000004     
  563.998      0.409836                
  564.271      0.411734                
  564.543      0.41138199999999997     
  564.816      0.40921300000000005     
  565.088      0.406646                
  565.361      0.403609                
  565.634      0.40167699999999995     
  565.906      0.402481                
  566.179      0.404742                
  566.451      0.407937                
  566.724      0.41090699999999997     
  566.997      0.41291199999999995     
  567.269      0.413691                
  567.542      0.413626                
  567.814      0.412321                
  568.087      0.41063900000000003     
  568.36       0.409185                
  568.632      0.40838                 
  568.905      0.408871                
  569.178      0.410455                
  569.45       0.41153                 
  569.723      0.411377                
  569.995      0.410101                
  570.268      0.40799                 
  570.541      0.40585099999999996     
  570.813      0.405206                
  571.086      0.406261                
  571.358      0.4086                  
  571.631      0.41170599999999996     
  571.904      0.415085                
  572.176      0.41835199999999995     
  572.449      0.42109800000000003     
  572.721      0.42311699999999997     
  572.994      0.424354                
  573.267      0.424854                
  573.539      0.42489099999999996     
  573.812      0.42480300000000004     
  574.084      0.424681                
  574.357      0.424456                
  574.63       0.424009                
  574.902      0.42327699999999996     
  575.175      0.42243699999999995     
  575.448      0.421771                
  575.72       0.421468                
  575.993      0.421638                
  576.265      0.42228                 
  576.538      0.42321400000000003     
  576.811      0.424195                
  577.083      0.42496300000000004     
  577.356      0.42513300000000004     
  577.628      0.424503                
  577.901      0.423141                
  578.174      0.421414                
  578.446      0.419984                
  578.719      0.41945800000000005     
  578.991      0.420037                
  579.264      0.421555                
  579.537      0.42354800000000004     
  579.809      0.42546900000000004     
  580.082      0.42709400000000003     
  580.354      0.42845900000000003     
  580.627      0.429699                
  580.9        0.430933                
  581.172      0.432219                
  581.445      0.433575                
  581.718      0.43497699999999995     
  581.99       0.43636                 
  582.263      0.437589                
  582.535      0.438521                
  582.808      0.439092                
  583.081      0.439335                
  583.353      0.43939                 
  583.626      0.439434                
  583.898      0.43954699999999997     
  584.171      0.43953800000000004     
  584.444      0.439024                
  584.716      0.43778300000000003     
  584.989      0.43593800000000005     
  585.261      0.434007                
  585.534      0.43302599999999997     
  585.807      0.43661900000000003     
  586.079      0.45119800000000004     
  586.352      0.47269900000000004     
  586.624      0.486755                
  586.897      0.49343800000000004     
  587.17       0.492925                
  587.442      0.479623                
  587.715      0.45873400000000003     
  587.988      0.45419699999999996     
  588.26       0.521957                
  588.533      0.670655                
  588.805      0.781841                
  589.078      0.870502                
  589.351      0.899585                
  589.623      0.828325                
  589.896      0.67907                 
  590.168      0.572437                
  590.441      0.486815                
  590.714      0.450621                
  590.986      0.455335                
  591.259      0.467794                
  591.531      0.470487                
  591.804      0.47260800000000003     
  592.077      0.478918                
  592.349      0.47689400000000004     
  592.622      0.47294400000000003     
  592.894      0.48545099999999997     
  593.167      0.491282                
  593.44       0.485331                
  593.712      0.48017800000000005     
  593.985      0.471816                
  594.258      0.457265                
  594.53       0.451205                
  594.803      0.46147900000000003     
  595.075      0.48405                 
  595.348      0.49318300000000004     
  595.621      0.489761                
  595.893      0.486749                
  596.166      0.47653599999999996     
  596.438      0.457164                
  596.711      0.45161599999999996     
  596.984      0.45723699999999995     
  597.256      0.46640800000000004     
  597.529      0.470084                
  597.801      0.467574                
  598.074      0.4616                  
  598.347      0.453931                
  598.619      0.443934                
  598.892      0.43957                 
  599.164      0.44088                 
  599.437      0.444444                
  599.71       0.448593                
